hemi,roi,n,mean,ci_low,ci_high,p,star
l,SI-STS,20,0.06211335944989099,0.0202842636545472,0.11823739656930003,0.0020997900209979003,**
l,TPJ,17,-0.0019784935337792773,-0.02616083094314032,0.02220258830370969,0.5515448455154485,
l,fSTS,20,0.0636528139057615,0.011304243203171842,0.12814234749019268,0.020897910208979104,*
l,FFA,20,-0.001281691380748374,-0.011563017894122214,0.009540995850417629,0.5980401959804019,
l,EBA,20,0.007318285135749764,-0.0024742148623420447,0.018246161750056576,0.10208979102089791,
l,EVC,20,0.003324210530831424,4.360334935295152e-05,0.006615023692453182,0.0282971702829717,*
l,MT,20,-0.007003498446774274,-0.014630838225219722,0.0002723003317209545,0.9556044395560443,
r,SI-STS,20,0.03691348200994293,0.014476677128145158,0.058681660421752095,0.0044995500449955,**
r,TPJ,17,0.014710102281489149,-0.008629573429024769,0.04337796894919423,0.17578242175782421,
r,fSTS,20,0.03278118430657815,0.014260019335040244,0.05080810298639877,0.001999800019998,**
r,FFA,20,0.007464645490759187,-0.004088667031848814,0.021478446904259922,0.148985101489851,
r,EBA,20,0.0038183040237690655,-0.0015771522080866933,0.010123410959383,0.11648835116488351,
r,EVC,20,0.0039805580210646166,0.0011242543386642543,0.008108477579140976,0.011398860113988602,*
r,MT,20,0.00424048350119937,-0.004433871608213978,0.013621802841360081,0.17788221177882213,
