hemi,roi,n,mean,ci_low,ci_high,p,star
l,SI-STS,9,0.07297070912546007,0.025257354910749714,0.12115297333028859,0.01364522417153996,*
l,TPJ,8,0.011273966127632585,-0.009593651792481075,0.03146593894605655,0.1867704280155642,
l,fSTS,9,0.10173633217108104,0.0457584931672591,0.16230518805421104,0.003898635477582846,**
l,FFA,9,0.009879181982148101,-0.002081693348415448,0.022243063700331224,0.09161793372319688,
l,EBA,9,0.005724278956848333,-0.01655517722824517,0.02876158069362173,0.3333333333333333,
l,EVC,9,0.007336328290653512,0.003419521095639914,0.01115238433428534,0.007797270955165692,**
l,MT,9,-0.009134398516414689,-0.019883901040274165,0.000311194825137562,0.9278752436647173,
r,SI-STS,9,0.07697428802791946,-0.006071561873917177,0.15762575452390698,0.06237816764132553,
r,TPJ,8,0.04644834066219128,0.006545477008539671,0.0934746283337698,0.07392996108949416,
r,fSTS,9,0.0399897769963702,-0.0025899348932323456,0.07653234649896817,0.04678362573099415,*
r,FFA,9,0.0065900571211595215,-0.0053625277279293945,0.021495989402416555,0.253411306042885,
r,EBA,9,-0.015009725858828645,-0.04106789492729726,0.007874978082633469,0.8460038986354775,
r,EVC,9,0.005676856726130122,0.00020874473303687083,0.011892948592320067,0.06237816764132553,
r,MT,9,0.006686587299863088,-0.0006486738901392662,0.014667949885191933,0.07212475633528265,
