subject,roi,hemi,n_voxels,r_w1_com_ind_face_first,r_w2_ind_face_noncom,r_b1_com_ind_face_noncom,r_b2_face_first_ind,decoding_index
1,SI-STS,l,220,-0.4440576517329287,-0.27717764934625,-0.2819653355931978,-0.3766698125674906,-0.0313000764592451
1,TPJ,l,313,-0.0215025271165055,-0.2137420539775104,-0.0375133096810498,-0.1957842238157181,-0.0009735237986239
1,fSTS,l,23,0.0639316589317983,0.2142314612282924,0.1348254390298844,-0.0340430590960578,0.0886903701131321
1,FFA,l,106,0.0149312501547635,-0.1504195212868915,-0.0318737499171896,-0.0918614966179402,-0.005876512298499
1,EBA,l,111,0.2462340304674215,-0.179454142055885,-0.0159082270597187,0.1778331626920152,-0.0475725236103799
1,EVC,l,249,-0.0545617420346385,-0.0133952742442708,0.0857163722019288,-0.1483450342879926,-0.0026641770964228
1,MT,l,166,0.272138249024403,0.0747312736063637,0.0867204416667539,0.2626653123161653,-0.0012581156760762
1,SI-STS,r,179,-0.0094916061262828,0.0137813441175715,0.1289943816057331,0.1765214549989395,-0.150613049306692
1,TPJ,r,322,-0.0819871623462067,-0.2326850757814835,-0.0827114570571428,-0.2351136109025718,0.0015764149160122
1,fSTS,r,80,-0.5759619742794366,-0.2633958321618868,-0.2933114588286641,-0.3609778810701089,-0.0925342332712752
1,FFA,r,107,-0.052023929653685,0.158931974496053,0.0630947052608746,0.0627192650426388,-0.0094529627305726
1,EBA,r,118,0.0572956730730982,0.0025236396397579,0.0398216100313194,0.2138212427163802,-0.0969117700174217
1,EVC,r,263,-0.3794513548497837,-0.3248708780323299,-0.3295427767832451,-0.3682592000822463,-0.0032601280083111
1,MT,r,165,-0.0416791905817081,-0.1305336118364074,-0.1501925024163976,-0.0511605384353498,0.0145701192168159
3,SI-STS,l,205,0.7601914649677375,0.5326530676605459,0.4831568514484879,0.5580768926784512,0.1258053942506721
3,TPJ,l,313,0.6624825900352844,0.5261118285201175,0.592095276032293,0.5090145694371959,0.0437422865429565
3,fSTS,l,23,0.4526097179103359,0.7311958268855101,0.6862231346640966,0.0615325825828769,0.2180249137744362
3,FFA,l,106,0.667243185994537,0.5238088350636583,0.5336607223291566,0.5646315530300814,0.0463798728494785
3,EBA,l,105,0.7660539359986052,0.8312024912325902,0.8048480605553123,0.7705511973465795,0.0109285846646517
3,EVC,l,249,0.9486144398244672,0.9595353335414948,0.9653128516938908,0.9338976498523678,0.0044696359098515
3,MT,l,166,0.970177051747959,0.954136774296535,0.9589004174641096,0.9442993932334496,0.0105570076734673
3,SI-STS,r,162,0.7907791659863164,0.6538490081931513,0.4512885834996946,0.5866245363701625,0.2033575271548051
3,TPJ,r,322,0.8565674164104838,0.6756009745993862,0.4466327892904265,0.7945962958097692,0.1454696529548371
3,fSTS,r,85,0.9715985111969644,0.9468586594851798,0.8778863424385421,0.925966811022678,0.057302008610462
3,FFA,r,107,0.8764313895950226,0.814445482899095,0.8624151301936045,0.7823442264978302,0.0230587579013414
3,EBA,r,115,0.919643749174688,0.8982183625503677,0.8824669566441248,0.9022728788565926,0.0165611381121691
3,EVC,r,263,0.88285249885822,0.8118869025565658,0.8401929229296075,0.8427826816027948,0.0058818984411918
3,MT,r,165,0.9342788283740516,0.958739112748189,0.9802989825589936,0.8917045517255764,0.0105072034188353
5,SI-STS,l,184,0.8796292287183402,0.8591630264427437,0.8390790521902421,0.8402650482636408,0.0297240773536004
5,TPJ,l,297,0.558438831327084,0.4245615293184384,0.4846606861252236,0.505134860351982,-0.0033975929158415
5,fSTS,l,23,0.9517788871870488,0.91040026434949,0.8873501213619481,0.9260789670905428,0.0243750315420239
5,FFA,l,106,0.8434161401900484,0.7919948202162284,0.8344941560425148,0.7895867715325473,0.0056650164156073
5,EBA,l,114,0.1057226404393415,0.7171484903655081,0.7830954149127825,-0.1121484368276819,0.0759620763598745
5,EVC,l,249,0.9310946231679236,0.924729887872652,0.9397921796473008,0.8994065614895648,0.0083128849518551
5,MT,l,164,0.5142648912393876,0.6656997818729146,0.6798826775084923,0.589363862839885,-0.0446409336180375
5,SI-STS,r,172,0.6137424449218944,0.5411899387989123,0.4707209423814793,0.5555063041483292,0.0643525685954991
