hemi,roi,model,n,r,p,star,noise_ceiling
l,SI-STS,3p_interaction,20,-0.15464739353293544,0.7192561487702459,,0.6145066242314984
l,SI-STS,communication,20,-0.21650635094610962,0.754249150169966,,0.6145066242314984
l,TPJ,3p_interaction,17,-0.12371791482634836,0.6454709058188363,,0.5073878149400597
l,TPJ,communication,17,-0.2783653083592838,0.8238352329534093,,0.5073878149400597
l,fSTS,3p_interaction,20,-0.43301270189221924,0.9870025994801039,,0.3934258554260152
l,fSTS,communication,20,-0.21650635094610962,0.7718456308738252,,0.3934258554260152
l,FFA,3p_interaction,20,-0.12371791482634836,0.6552689462107578,,0.8496600930458683
l,FFA,communication,20,-0.21650635094610962,0.7252549490101979,,0.8496600930458683
l,EBA,3p_interaction,20,-0.18557687223952252,0.7494501099780044,,0.5745217486352465
l,EBA,communication,20,-0.3092947870658709,0.8720255948810238,,0.5745217486352465
l,EVC,3p_interaction,20,-0.06185895741317418,0.5132973405318936,,0.8865518566208953
l,EVC,communication,20,-0.24743582965269673,0.7610477904419116,,0.8865518566208953
l,MT,3p_interaction,20,-0.12371791482634836,0.6684663067386523,,0.8875458504031466
l,MT,communication,20,-0.21650635094610962,0.7118576284743051,,0.8875458504031466
r,SI-STS,3p_interaction,20,-0.2783653083592838,0.8438312337532493,,0.5719647336214463
r,SI-STS,communication,20,-0.18557687223952252,0.7448510297940412,,0.5719647336214463
r,TPJ,3p_interaction,17,-0.12371791482634836,0.6662667466506699,,0.6288102480025344
r,TPJ,communication,17,-0.12371791482634836,0.6262747450509898,,0.6288102480025344
r,fSTS,3p_interaction,20,-0.2783653083592838,0.862627474505099,,0.5984214940748988
r,fSTS,communication,20,-0.18557687223952252,0.770245950809838,,0.5984214940748988
r,FFA,3p_interaction,20,-0.15464739353293544,0.7260547890421916,,0.8495088551328056
r,FFA,communication,20,-0.2783653083592838,0.7934413117376524,,0.8495088551328056
r,EBA,3p_interaction,20,-0.340224265772458,0.9506098780243951,,0.6731290200677922
r,EBA,communication,20,-0.49487165930539345,0.9846030793841232,,0.6731290200677922
r,EVC,3p_interaction,20,-0.06185895741317418,0.4983003399320136,,0.9293070830863708
r,EVC,communication,20,-0.21650635094610962,0.7228554289142172,,0.9293070830863708
r,MT,3p_interaction,20,-0.12371791482634836,0.6646670665866826,,0.7885048525941446
r,MT,communication,20,-0.21650635094610962,0.715256948610278,,0.7885048525941446
