hemi,roi,c1,c2,diff,t,dof,p
l,EBA,face-first,face-noncom,-0.31226758209593947,-6.887386714025694,19,0.9999992816521615
l,EBA,face-third,face-noncom,-0.18028486032750188,-5.3616053353059385,19,0.9999821607967371
l,EBA,com-ind,ind,0.24845129449058723,6.326714599638716,19,2.2592513015893274e-06
l,EBA,com-joint,joint,-0.14185333604030054,-3.375752742756417,19,0.9984131169786858
l,EBA,interact,noninteract,0.037059104013162494,0.9817329559109806,19,0.16928403733143554
l,EBA,belief,photo,0.07683766926768465,3.3263280886745887,16,0.0021377055238245837
l,EVC,face-first,face-noncom,0.05200035287583965,0.957532633788618,19,0.17516249525272365
l,EVC,face-third,face-noncom,0.020113944155844322,0.3703646108575601,19,0.3576037323247796
l,EVC,com-ind,ind,0.2037748474075177,5.072047033419685,19,3.385091931099269e-05
l,EVC,com-joint,joint,0.04704101460249961,0.9883106624601897,19,0.1677101634483299
l,EVC,interact,noninteract,-0.31654275332911325,-7.050355483374412,19,0.9999994810479567
l,EVC,belief,photo,0.027688883405524015,0.8816442954000162,16,0.19551090979593455
l,FFA,face-first,face-noncom,0.04697744333888447,0.8897457357450578,19,0.1923649384261632
l,FFA,face-third,face-noncom,0.04457440199299685,1.3965633629666208,19,0.08932348622557368
l,FFA,com-ind,ind,0.11651332086689961,4.408094229779242,19,0.00015105351288671745
l,FFA,com-joint,joint,0.07797251737047754,2.6397044623942403,19,0.008076821424518859
l,FFA,interact,noninteract,0.00934823294435403,0.3801736595608989,19,0.35401655614449284
l,FFA,belief,photo,0.05441620809829684,2.4654613632069875,16,0.012687317297479513
l,MT,face-first,face-noncom,-0.510332312039769,-5.826857111094853,19,0.9999935041268986
l,MT,face-third,face-noncom,-0.3396997322436799,-4.7654479835277,19,0.9999327337629541
l,MT,com-ind,ind,0.3802090688967262,8.413973842574174,19,3.929279210264582e-08
l,MT,com-joint,joint,-0.15835610237704564,-3.014520122457244,19,0.9964356528173192
l,MT,interact,noninteract,-0.2086146243128971,-4.407494178560484,19,0.9998487402478211
l,MT,belief,photo,-0.0056604485922305955,-0.29663028467283586,16,0.6147176227033779
l,SI-STS,face-first,face-noncom,0.08953974156475239,1.6868794004257495,19,0.05398827776942232
l,SI-STS,face-third,face-noncom,0.11151981344844455,2.4675961948513385,19,0.011637025473013114
l,SI-STS,com-ind,ind,0.2383921544561281,3.3658394976230777,19,0.0016228262217815837
l,SI-STS,com-joint,joint,0.11996673688111237,2.282905734255809,19,0.017062899666758974
l,SI-STS,interact,noninteract,0.23173887942719545,5.56561448930574,19,1.1420061603316155e-05
l,SI-STS,belief,photo,0.21413263105170632,7.527307482214836,16,6.05432596298908e-07
l,TPJ,face-first,face-noncom,0.0453389763378765,1.0699637139860374,16,0.15025598351057337
l,TPJ,face-third,face-noncom,-0.024947887877024875,-0.6675911310431206,16,0.7430453599166909
l,TPJ,com-ind,ind,0.07324429342191079,1.1401493430798528,16,0.13550235165268606
l,TPJ,com-joint,joint,0.0014341489333270605,0.029792043961426432,16,0.48830067897267376
l,TPJ,interact,noninteract,0.1387032450242264,4.204918884910344,16,0.00033577636759874537
l,TPJ,belief,photo,0.4156033390655015,10.038180340385361,16,1.3024688691904229e-08
l,com-STS,face-first,face-noncom,0.23943122932560484,7.187819372896061,19,3.9557755829641646e-07
l,com-STS,face-third,face-noncom,0.24689253982588596,6.924328729210561,19,6.670971031824093e-07
l,com-STS,com-ind,ind,0.15532697308489468,4.1165647218662125,19,0.00029355795187873963
l,com-STS,com-joint,joint,0.15684246809426838,4.143165465289036,19,0.00027626196880719726
l,com-STS,interact,noninteract,0.16764830981794282,4.204449520156688,19,0.00024020759559767197
l,com-STS,belief,photo,0.17203016313425887,5.98319173821209,16,9.560171980360842e-06
l,comind-STS,face-first,face-noncom,0.03181299987366742,0.703569593454646,19,0.2451169233356978
l,comind-STS,face-third,face-noncom,0.07234462076896994,1.8509689494688606,19,0.039891919131406904
l,comind-STS,com-ind,ind,0.22604670317802805,5.810000570651565,19,6.735061568853071e-06
l,comind-STS,com-joint,joint,0.049005756903861775,0.9503965684044843,19,0.17692232218063386
l,comind-STS,interact,noninteract,0.14353380619251696,3.213414294970592,19,0.0022872446157185893
l,comind-STS,belief,photo,0.15278480722118848,4.983466382148859,16,6.765367951226553e-05
l,comphy-STS,face-first,face-noncom,0.12044248161889293,4.26210677546359,19,0.0002106130998611992
l,comphy-STS,face-third,face-noncom,0.11592524424331863,3.034881566386032,19,0.003406958151806108
l,comphy-STS,com-ind,ind,0.10811546076077745,2.391234503691351,19,0.013648962063834674
l,comphy-STS,com-joint,joint,0.15279508734177832,3.574249554130686,19,0.0010117811210448532
l,comphy-STS,interact,noninteract,0.15762098556820434,3.9091165683951816,19,0.00047148449321911327
l,comphy-STS,belief,photo,0.21262695101085805,5.37281537989969,16,3.110292315665935e-05
l,dyadcom-STS,face-first,face-noncom,0.13133014165441265,4.317114565840389,19,0.00018580223729744433
l,dyadcom-STS,face-third,face-noncom,0.1418882169454494,4.247431371748392,19,0.00021777861699028098
l,dyadcom-STS,com-ind,ind,0.17377463991606135,4.334990808027339,19,0.00017839031768144601
l,dyadcom-STS,com-joint,joint,0.15834969664315382,3.731080093548411,19,0.0007078876375600624
l,dyadcom-STS,interact,noninteract,0.18976087117638435,4.583899532013324,19,0.00010135977736908938
l,dyadcom-STS,belief,photo,0.2195671662481874,5.476313920531023,16,2.537730374892079e-05
l,fSTS,face-first,face-noncom,0.2292688685955752,6.076231514337655,19,3.82023989205632e-06
