hemi,roi,trial_type,run,response,subject_label
l,EBA,belief,0.5,-0.1703006802584202,sub-01
l,EBA,body,4.0,0.1770136722349549,sub-01
l,EBA,com_ind,4.0,0.1721166634898998,sub-01
l,EBA,com_phy,4.0,0.3103154420883048,sub-01
l,EBA,face_first,4.0,-0.1332099874658974,sub-01
l,EBA,face_noncom,4.0,0.1200817821348363,sub-01
l,EBA,face_third,4.0,-0.066701260801982,sub-01
l,EBA,ind,4.0,0.2420409809849831,sub-01
l,EBA,interact,1.5,0.1774765081441626,sub-01
l,EBA,noninteract,1.5,0.0718041498425223,sub-01
l,EBA,object,4.0,0.0706597434170371,sub-01
l,EBA,photo,0.5,-0.1630533023539821,sub-01
l,EBA,phy,4.0,0.2031156702890787,sub-01
l,EVC,belief,0.5,1.3928671420624037,sub-01
l,EVC,body,4.0,1.2618520288024044,sub-01
l,EVC,com_ind,4.0,1.4526945264800977,sub-01
l,EVC,com_phy,4.0,1.812975181507375,sub-01
l,EVC,face_first,4.0,1.1062436191494058,sub-01
l,EVC,face_noncom,4.0,1.318863342649591,sub-01
l,EVC,face_third,4.0,1.1266233352949957,sub-01
l,EVC,ind,4.0,1.4703394274092996,sub-01
l,EVC,interact,1.5,0.7176406934682092,sub-01
l,EVC,noninteract,1.5,0.7205446545869016,sub-01
l,EVC,object,4.0,1.713090297415715,sub-01
l,EVC,photo,0.5,1.392007422095754,sub-01
l,EVC,phy,4.0,1.416297658907409,sub-01
l,FFA,belief,0.5,0.9780241279655304,sub-01
l,FFA,body,4.0,0.0668285472880838,sub-01
l,FFA,com_ind,4.0,0.2895942721235344,sub-01
l,FFA,com_phy,4.0,0.4454544375406941,sub-01
l,FFA,face_first,4.0,0.5483164881173818,sub-01
l,FFA,face_noncom,4.0,0.3691028026994186,sub-01
l,FFA,face_third,4.0,0.4132484964050767,sub-01
l,FFA,ind,4.0,0.3505890326680927,sub-01
l,FFA,interact,1.5,0.0450424610923572,sub-01
l,FFA,noninteract,1.5,-0.0033374163427282,sub-01
l,FFA,object,4.0,0.3013231251419768,sub-01
l,FFA,photo,0.5,0.8753695042319618,sub-01
l,FFA,phy,4.0,0.2328782433448686,sub-01
l,MT,belief,0.5,1.528012702895758,sub-01
l,MT,body,4.0,1.1596640175888746,sub-01
l,MT,com_ind,4.0,0.994315963193944,sub-01
l,MT,com_phy,4.0,1.362321766999304,sub-01
l,MT,face_first,4.0,0.6617632765706278,sub-01
l,MT,face_noncom,4.0,1.0420933541535158,sub-01
l,MT,face_third,4.0,0.7284676941326249,sub-01
l,MT,ind,4.0,1.0207202224918197,sub-01
l,MT,interact,1.5,1.0999137551572795,sub-01
l,MT,noninteract,1.5,1.1417876293167135,sub-01
l,MT,object,4.0,1.0845293899539217,sub-01
l,MT,photo,0.5,1.5572170684848312,sub-01
l,MT,phy,4.0,1.242052828971981,sub-01
l,SI-STS,belief,0.5,0.0867719293122718,sub-01
l,SI-STS,body,1.5,-0.0113073852468625,sub-01
l,SI-STS,com_ind,1.5,-0.0166366599025109,sub-01
l,SI-STS,com_phy,1.5,0.1853644399806539,sub-01
l,SI-STS,face_first,1.5,0.2239826503223971,sub-01
l,SI-STS,face_noncom,1.5,0.1743507560424059,sub-01
l,SI-STS,face_third,1.5,0.1094900151095649,sub-01
l,SI-STS,ind,1.5,-0.0007969101189881,sub-01
l,SI-STS,interact,1.5,0.0740990901850223,sub-01
l,SI-STS,noninteract,1.5,0.0840011168806454,sub-01
l,SI-STS,object,1.5,0.3155775230371695,sub-01
l,SI-STS,photo,0.5,0.0073265103721386,sub-01
l,SI-STS,phy,1.5,0.0749057067836413,sub-01
l,TPJ,belief,0.5,0.2576948980591932,sub-01
l,TPJ,body,0.5,-0.6362464564947753,sub-01
l,TPJ,com_ind,0.5,0.4493153558139949,sub-01
l,TPJ,com_phy,0.5,-0.4517319069207992,sub-01
l,TPJ,face_first,0.5,-0.4500012398368338,sub-01
l,TPJ,face_noncom,0.5,-0.3424627120580555,sub-01
l,TPJ,face_third,0.5,-0.3685316282973678,sub-01
l,TPJ,ind,0.5,-0.0727283014939456,sub-01
l,TPJ,interact,0.5,0.0125841627587108,sub-01
l,TPJ,noninteract,0.5,-0.127437591653843,sub-01
l,TPJ,object,0.5,-0.256345166348501,sub-01
l,TPJ,photo,0.5,-0.388596971461856,sub-01
l,TPJ,phy,0.5,-0.2730814862379624,sub-01
l,fSTS,belief,0.5,0.160425757322719,sub-01
l,fSTS,body,4.0,-0.072539589986221,sub-01
l,fSTS,com_ind,4.0,-0.0801986012207796,sub-01
l,fSTS,com_phy,4.0,0.0041154566847044,sub-01
l,fSTS,face_first,4.0,0.0065626874959982,sub-01
l,fSTS,face_noncom,4.0,-0.0113481039119268,sub-01
l,fSTS,face_third,4.0,-0.0266587790921778,sub-01
l,fSTS,ind,4.0,0.0129935089295555,sub-01
l,fSTS,interact,1.5,0.2707543992995426,sub-01
l,fSTS,noninteract,1.5,0.2138350816008113,sub-01
l,fSTS,object,4.0,0.0379739683481404,sub-01
l,fSTS,photo,0.5,0.1945776537805668,sub-01
l,fSTS,phy,4.0,-0.001555746986583,sub-01
r,EBA,belief,0.5,-0.0456701060042822,sub-01
r,EBA,body,4.0,0.6296034537820615,sub-01
r,EBA,com_ind,4.0,0.6358828935938191,sub-01
