hemi,roi,c1,c2,diff,t,dof,p
l,EBA,face-first,face-noncom,-0.2000733522470387,-2.7528449798667958,8,0.9875254941924998
l,EBA,face-third,face-noncom,-0.1153744119286043,-1.819477258403351,8,0.9468314241095959
l,EBA,com-ind,ind,0.23460409662320936,3.2371873170581815,8,0.005963896400304208
l,EBA,com-joint,joint,-0.09088777555716039,-1.1080683446427178,8,0.8499843191799894
l,EBA,joint,ind,0.4905471920824873,4.6487965516331,8,0.0008236272883117412
l,EBA,interact,noninteract,-0.0005391347820352851,-0.00791822618015509,8,0.5030619343157665
l,EBA,belief,photo,0.05964675213372657,1.9077142585545597,7,0.049043410294463956
l,EVC,face-first,face-noncom,0.07739457910853503,0.9191126494287116,8,0.192455582541468
l,EVC,face-third,face-noncom,0.01574301285333552,0.18346316508005087,8,0.429499620512229
l,EVC,com-ind,ind,0.30172980506425223,5.277712314421583,8,0.00037413757388592286
l,EVC,com-joint,joint,0.09785987633803132,1.0209276955171467,8,0.1685832131834045
l,EVC,joint,ind,0.13808968596662946,1.6724754413286853,8,0.066485226422332
l,EVC,interact,noninteract,-0.336213119021933,-4.6130597298193114,8,0.9991371210028337
l,EVC,belief,photo,-0.003565691366916063,-0.09023885561664326,7,0.5346873962416039
l,FFA,face-first,face-noncom,0.15518261207108483,2.1155411205787606,8,0.033645279834295154
l,FFA,face-third,face-noncom,0.0663454221962071,1.1240952505285584,8,0.14678410927447386
l,FFA,com-ind,ind,0.132783951345225,2.883361343864958,8,0.010202990320102892
l,FFA,com-joint,joint,0.07809566443134214,1.633142671221781,8,0.0705407999958594
l,FFA,joint,ind,0.09376662189498357,2.0016502258869333,8,0.04015532484016058
l,FFA,interact,noninteract,-0.030253005021744758,-0.7747104243398729,8,0.7696037605504304
l,FFA,belief,photo,0.03744069350196117,1.5029261620622876,7,0.08828047792762117
l,MT,face-first,face-noncom,-0.34406175292701163,-2.396608565914083,8,0.9782970755844745
l,MT,face-third,face-noncom,-0.23676072224616934,-1.841336046365664,8,0.9485827671579145
l,MT,com-ind,ind,0.42940815706457475,5.442627378090603,8,0.00030702787042677024
l,MT,com-joint,joint,-0.06838221942522821,-0.7102800540850195,8,0.7511450574229495
l,MT,joint,ind,0.8058156565953664,5.817517999148376,8,0.00019858016430868616
l,MT,interact,noninteract,-0.23583470578313215,-3.038844265918351,8,0.9919542321069487
l,MT,belief,photo,-0.02345065623971006,-0.8511084159488703,7,0.7885673109559523
l,SI-STS,face-first,face-noncom,0.16250586322573188,3.0473072499303493,8,0.007942945862210091
l,SI-STS,face-third,face-noncom,0.1397988111906293,2.2657766789330998,8,0.026620104809352698
l,SI-STS,com-ind,ind,0.21814595971041356,2.5638691222747236,8,0.016722515050547986
l,SI-STS,com-joint,joint,0.15134039670651808,1.6704086194153758,8,0.0666928665579798
l,SI-STS,joint,ind,0.039184330340050734,0.9240726488857023,8,0.19123754059325454
l,SI-STS,interact,noninteract,0.14846047432733872,2.3528625734770134,8,0.02323656325566459
l,SI-STS,belief,photo,0.17105781229945446,4.733399090434501,7,0.001062064077150437
l,TPJ,face-first,face-noncom,0.020307355804671426,0.3140728569456997,7,0.381309429502212
l,TPJ,face-third,face-noncom,-0.04004599747404697,-0.9325480733053917,7,0.8089535670260779
l,TPJ,com-ind,ind,0.17376694184355274,2.0492349607966824,7,0.03981012404567898
l,TPJ,com-joint,joint,-0.05733003246219454,-0.8826392145757409,7,0.7966404293044018
l,TPJ,joint,ind,0.030737770048303543,0.3859329506999631,7,0.3555038389490785
l,TPJ,interact,noninteract,0.07655019346078346,1.5863840645517815,7,0.07833646667904229
