hemi,roi,pair,n,mean,ci_low,ci_high,p,star
l,SI-STS,dyad,20,0.043144838302244845,0.012715204811813869,0.0792064335764331,0.013298670132986702,*
l,SI-STS,face,20,0.03822617687829574,-0.005195084302630091,0.08645733895532359,0.059494050594940506,
l,TPJ,dyad,17,0.04257698237122412,0.008293384661947649,0.08342824351575434,0.024897510248975102,*
l,TPJ,face,17,-0.012655665581102244,-0.07477922206384476,0.043565307652041634,0.6584341565843416,
l,fSTS,dyad,20,0.03873477581238705,-0.004213256097033318,0.08973239378692745,0.0644935506449355,
l,fSTS,face,20,0.07686485269374689,0.025139181787443315,0.13544296514115686,0.008099190080991902,**
l,FFA,dyad,20,0.004636586564546081,-0.008039731386537227,0.02391987519183216,0.400959904009599,
l,FFA,face,20,0.02191436980772988,0.0066203049829494055,0.04002474449710341,0.006899310068993101,**
l,EBA,dyad,20,-0.009359731424435353,-0.03272571948679379,0.014716306075309724,0.7917208279172083,
l,EBA,face,20,0.09824494958698597,0.02628132563461422,0.1941293705887319,0.0024997500249975004,**
l,EVC,dyad,20,-0.0043939002519502056,-0.00883539418216765,-0.0002596024128422402,0.9717028297170283,
l,EVC,face,20,0.007731842363698341,0.0031046201014646026,0.012799157191623087,0.0010998900109989002,**
l,MT,dyad,20,0.00554543103954364,-0.0017082435090410115,0.013386328683110158,0.08049195080491951,
l,MT,face,20,0.06951091672402174,0.02954485556619379,0.1370347529457339,9.999000099990002e-05,***
r,SI-STS,dyad,20,0.01407441114791368,-0.023681698508155248,0.03980798937735996,0.2156784321567843,
r,SI-STS,face,20,0.08114166523409569,0.025357147347015514,0.13528273092132187,0.007399260073992601,**
r,TPJ,dyad,17,0.022223202139377823,0.0017405725393280895,0.04450690759277102,0.0321967803219678,*
r,TPJ,face,17,0.02083800637116809,-0.035581544413474206,0.07786433915268152,0.2578742125787421,
r,fSTS,dyad,20,0.021744346987774343,0.0016239448575610738,0.044470757881595685,0.0332966703329667,*
r,fSTS,face,20,0.10325722497748155,0.06331291322940315,0.14680691787459746,9.999000099990002e-05,***
r,FFA,dyad,20,0.005401646848161099,-0.002937356804598887,0.013364930904984378,0.12418758124187582,
r,FFA,face,20,0.047044829853525226,0.020923339518799634,0.0744224105722515,0.0012998700129987,**
r,EBA,dyad,20,0.00809200876197407,-0.000990138578405523,0.018255233419742698,0.06409359064093591,
r,EBA,face,20,0.08778412912694691,0.04460752248226964,0.12283807950567072,0.0004999500049995,***
r,EVC,dyad,20,-0.00042334204826013927,-0.0024433480701603733,0.001564972247222475,0.6613338666133387,
r,EVC,face,20,0.018415332707513693,0.00739765803296788,0.035332704269238166,0.0008999100089991,***
r,MT,dyad,20,-0.00576404164871317,-0.012346221343865977,0.0004038643917222381,0.9448055194480552,
r,MT,face,20,0.06855866894851305,0.03251158593869651,0.1167512319553378,9.999000099990002e-05,***
