subject,hemisphere,communicate_contrast,percent_threshold,n_communicate_voxels,n_pointlight_voxels,n_overlap_voxels,dice
1,left,com_ind-ind,0.05,220,220,35,0.1590909090909091
1,left,com_ind-ind,0.1,440,440,105,0.2386363636363636
1,left,com_ind-ind,0.2,881,881,284,0.322360953461975
1,left,com_ind-ind,0.3,1080,1321,479,0.3990004164931278
1,left,com_ind-ind,0.4,1080,1762,614,0.4320900774102744
1,left,com_ind-ind,0.5,1080,2202,747,0.4552102376599634
1,left,com_ind-ind,0.6,1080,2642,847,0.4551316496507254
1,left,com_ind-ind,0.7,1080,2887,891,0.4492059490799092
1,left,com_ind-ind,0.8,1080,2887,891,0.4492059490799092
1,left,com_ind-ind,0.9,1080,2887,891,0.4492059490799092
1,left,com_ind-ind,1.0,1080,2887,891,0.4492059490799092
1,right,com_ind-ind,0.05,196,196,20,0.1020408163265306
1,right,com_ind-ind,0.1,393,393,80,0.2035623409669211
1,right,com_ind-ind,0.2,786,786,223,0.2837150127226463
1,right,com_ind-ind,0.3,1037,1179,398,0.3592057761732852
1,right,com_ind-ind,0.4,1037,1572,504,0.3863549252587198
1,right,com_ind-ind,0.5,1037,1964,633,0.4218593802065978
1,right,com_ind-ind,0.6,1037,2357,748,0.440777843252799
1,right,com_ind-ind,0.7,1037,2750,844,0.4457354106152627
1,right,com_ind-ind,0.8,1037,2896,880,0.4474955504703788
1,right,com_ind-ind,0.9,1037,2896,880,0.4474955504703788
1,right,com_ind-ind,1.0,1037,2896,880,0.4474955504703788
1,left,com_phy-phy,0.05,220,220,17,0.0772727272727272
1,left,com_phy-phy,0.1,440,440,36,0.0818181818181818
1,left,com_phy-phy,0.2,881,881,124,0.1407491486946651
1,left,com_phy-phy,0.3,1321,1321,307,0.2323996971990916
1,left,com_phy-phy,0.4,1762,1762,625,0.3547105561861521
1,left,com_phy-phy,0.5,2202,2202,1063,0.4827429609445958
1,left,com_phy-phy,0.6,2642,2642,1600,0.6056018168054504
1,left,com_phy-phy,0.7,3083,2887,2057,0.6891122278056951
1,left,com_phy-phy,0.8,3127,2887,2086,0.693714665779847
1,left,com_phy-phy,0.9,3127,2887,2086,0.693714665779847
1,left,com_phy-phy,1.0,3127,2887,2086,0.693714665779847
1,right,com_phy-phy,0.05,196,196,15,0.0765306122448979
1,right,com_phy-phy,0.1,393,393,40,0.1017811704834605
1,right,com_phy-phy,0.2,786,786,166,0.2111959287531806
1,right,com_phy-phy,0.3,1179,1179,344,0.2917726887192536
1,right,com_phy-phy,0.4,1572,1572,569,0.3619592875318066
1,right,com_phy-phy,0.5,1964,1964,881,0.4485743380855397
1,right,com_phy-phy,0.6,2357,2357,1305,0.5536699193890539
1,right,com_phy-phy,0.7,2501,2750,1656,0.630737002475719
1,right,com_phy-phy,0.8,2501,2896,1749,0.6481378543635353
1,right,com_phy-phy,0.9,2501,2896,1749,0.6481378543635353
1,right,com_phy-phy,1.0,2501,2896,1749,0.6481378543635353
1,left,face_first-face_noncom,0.05,220,220,5,0.0227272727272727
1,left,face_first-face_noncom,0.1,440,440,42,0.0954545454545454
1,left,face_first-face_noncom,0.2,881,881,186,0.2111237230419977
1,left,face_first-face_noncom,0.3,1103,1321,342,0.2821782178217821
1,left,face_first-face_noncom,0.4,1103,1762,443,0.3092495636998255
1,left,face_first-face_noncom,0.5,1103,2202,540,0.3267776096822995
1,left,face_first-face_noncom,0.6,1103,2642,639,0.3412550066755674
1,left,face_first-face_noncom,0.7,1103,2887,702,0.3518796992481203
1,left,face_first-face_noncom,0.8,1103,2887,702,0.3518796992481203
1,left,face_first-face_noncom,0.9,1103,2887,702,0.3518796992481203
1,left,face_first-face_noncom,1.0,1103,2887,702,0.3518796992481203
1,right,face_first-face_noncom,0.05,196,196,15,0.0765306122448979
1,right,face_first-face_noncom,0.1,393,393,42,0.1068702290076335
1,right,face_first-face_noncom,0.2,786,786,157,0.1997455470737913
1,right,face_first-face_noncom,0.3,1037,1179,316,0.2851985559566787
1,right,face_first-face_noncom,0.4,1037,1572,435,0.3334610962054427
1,right,face_first-face_noncom,0.5,1037,1964,559,0.372542485838054
1,right,face_first-face_noncom,0.6,1037,2357,672,0.3959929286977018
1,right,face_first-face_noncom,0.7,1037,2750,782,0.4129918141008714
1,right,face_first-face_noncom,0.8,1037,2896,823,0.418510043224002
1,right,face_first-face_noncom,0.9,1037,2896,823,0.418510043224002
1,right,face_first-face_noncom,1.0,1037,2896,823,0.418510043224002
1,left,face_third-face_noncom,0.05,220,220,0,0.0
1,left,face_third-face_noncom,0.1,440,440,13,0.0295454545454545
