subject,hemisphere,percent_threshold,n_odd_voxels,n_even_voxels,n_overlap_voxels,dice
1,left,0.05,220,220,43,0.1954545454545454
1,left,0.1,440,440,78,0.1772727272727272
1,left,0.2,881,881,175,0.1986379114642451
1,left,0.3,1321,1321,369,0.279333838001514
1,left,0.4,1762,1762,732,0.4154370034052213
1,left,0.5,2202,2202,1168,0.5304268846503178
1,left,0.6,2642,2446,1546,0.6077044025157232
1,left,0.7,2832,2446,1673,0.6339522546419099
1,left,0.8,2832,2446,1673,0.6339522546419099
1,left,0.9,2832,2446,1673,0.6339522546419099
1,left,1.0,2832,2446,1673,0.6339522546419099
1,right,0.05,196,196,32,0.1632653061224489
1,right,0.1,393,393,84,0.2137404580152671
1,right,0.2,786,786,231,0.2938931297709923
1,right,0.3,1179,1179,467,0.3960983884648006
1,right,0.4,1572,1572,749,0.4764631043256997
1,right,0.5,1964,1964,1102,0.5610997963340122
1,right,0.6,2310,2357,1506,0.6453824726805228
1,right,0.7,2310,2750,1732,0.6845849802371542
1,right,0.8,2310,3000,1865,0.7024482109227872
1,right,0.9,2310,3000,1865,0.7024482109227872
1,right,1.0,2310,3000,1865,0.7024482109227872
2,left,0.05,220,220,96,0.4363636363636363
2,left,0.1,440,440,182,0.4136363636363636
2,left,0.2,881,881,371,0.4211123723041998
2,left,0.3,1321,1321,614,0.4647993943981832
2,left,0.4,1762,1762,900,0.5107832009080591
2,left,0.5,2202,2202,1304,0.592188919164396
2,left,0.6,2642,2503,1709,0.6643343051506316
2,left,0.7,3072,2503,1931,0.6927354260089686
2,left,0.8,3072,2503,1931,0.6927354260089686
2,left,0.9,3072,2503,1931,0.6927354260089686
2,left,1.0,3072,2503,1931,0.6927354260089686
2,right,0.05,196,196,130,0.6632653061224489
2,right,0.1,393,393,258,0.6564885496183206
2,right,0.2,786,786,510,0.648854961832061
2,right,0.3,1179,1179,779,0.6607294317217981
2,right,0.4,1572,1572,1093,0.69529262086514
2,right,0.5,1964,1964,1439,0.7326883910386965
2,right,0.6,2357,2357,1804,0.7653797199830292
2,right,0.7,2750,2750,2199,0.7996363636363636
2,right,0.8,2809,3143,2472,0.8306451612903226
2,right,0.9,2809,3326,2571,0.8381418092909535
2,right,1.0,2809,3326,2571,0.8381418092909535
3,left,0.05,220,220,31,0.1409090909090909
3,left,0.1,440,440,61,0.1386363636363636
3,left,0.2,504,881,118,0.1703971119133574
3,left,0.3,504,1321,185,0.2027397260273972
3,left,0.4,504,1762,252,0.2224183583406884
3,left,0.5,504,2202,308,0.2276422764227642
3,left,0.6,504,2642,367,0.2333121424030514
3,left,0.7,504,3083,415,0.2313911346529133
3,left,0.8,504,3249,427,0.2275512922994937
3,left,0.9,504,3249,427,0.2275512922994937
3,left,1.0,504,3249,427,0.2275512922994937
3,right,0.05,196,196,46,0.2346938775510204
3,right,0.1,393,393,107,0.272264631043257
3,right,0.2,786,786,275,0.3498727735368956
3,right,0.3,1071,1179,458,0.4071111111111111
3,right,0.4,1071,1572,605,0.4578130911842603
3,right,0.5,1071,1964,706,0.4652388797364085
3,right,0.6,1071,2357,795,0.4638273045507584
3,right,0.7,1071,2750,876,0.4585187123789584
3,right,0.8,1071,3097,948,0.45489443378119
3,right,0.9,1071,3097,948,0.45489443378119
3,right,1.0,1071,3097,948,0.45489443378119
4,left,0.05,220,220,23,0.1045454545454545
4,left,0.1,440,440,68,0.1545454545454545
4,left,0.2,881,881,175,0.1986379114642451
4,left,0.3,1321,1321,359,0.2717638152914459
4,left,0.4,1762,1762,631,0.3581157775255391
4,left,0.5,2202,1923,871,0.4223030303030303
4,left,0.6,2642,1923,1077,0.4718510405257393
4,left,0.7,3083,1923,1284,0.512984418697563
4,left,0.8,3523,1923,1497,0.5497612926918839
4,left,0.9,3797,1923,1627,0.5688811188811189
4,left,1.0,3797,1923,1627,0.5688811188811189
